filename,species,timestamp
visit_20250405_170454.jpg,House Finch (Adult Male),2025-04-05 17:04:54
visit_20250405_171354.jpg,Eurasian Collared-Dove (ID: 527),2025-04-05 17:13:54
visit_20250405_171430.jpg,Prairie Falcon (ID: 500),2025-04-05 17:14:30
visit_20250405_173634.jpg,Northern Shrike (ID: 938),2025-04-05 17:36:34
visit_20250405_180404.jpg,Prairie Falcon (ID: 500),2025-04-05 18:04:04
visit_20250405_180456.jpg,Great Horned Owl (ID: 539),2025-04-05 18:04:56
visit_20250405_181438.jpg,Great Horned Owl (ID: 539),2025-04-05 18:14:38
visit_20250405_181522.jpg,Great Horned Owl (ID: 539),2025-04-05 18:15:22
visit_20250405_181621.jpg,Prairie Falcon (ID: 500),2025-04-05 18:16:21
visit_20250405_182625.jpg,Great Horned Owl (ID: 539),2025-04-05 18:26:25
visit_20250405_183750.jpg,Northern Flicker (Yellow-shafted),2025-04-05 18:37:50
visit_20250405_184010.jpg,Northern Flicker (Yellow-shafted),2025-04-05 18:40:10
visit_20250405_184047.jpg,Great Horned Owl (ID: 539),2025-04-05 18:40:47
visit_20250405_184908.jpg,Northern Flicker (Yellow-shafted),2025-04-05 18:49:08
visit_20250405_192901.jpg,Northern Flicker (Yellow-shafted),2025-04-05 19:29:01
visit_20250406_061126.jpg,Western Screech-Owl (ID: 537),2025-04-06 06:11:26
visit_20250406_072451.jpg,Northern Cardinal (Adult Male),2025-04-06 07:24:51
visit_20250406_072528.jpg,Northern Cardinal (Adult Male),2025-04-06 07:25:28
visit_20250406_072930.jpg,Northern Cardinal (Adult Male),2025-04-06 07:29:30
visit_20250406_073014.jpg,Northern Cardinal (Adult Male),2025-04-06 07:30:14
visit_20250406_073240.jpg,Northern Cardinal (Adult Male),2025-04-06 07:32:40
visit_20250406_073317.jpg,Northern Cardinal (Adult Male),2025-04-06 07:33:17
visit_20250406_073415.jpg,Northern Cardinal (Adult Male),2025-04-06 07:34:15
visit_20250406_073620.jpg,Northern Cardinal (Adult Male),2025-04-06 07:36:20
visit_20250406_073740.jpg,Northern Cardinal (Adult Male),2025-04-06 07:37:40
visit_20250406_073824.jpg,Northern Cardinal (Adult Male),2025-04-06 07:38:24
visit_20250406_074233.jpg,Northern Cardinal (Adult Male),2025-04-06 07:42:33
visit_20250406_083300.jpg,Eurasian Collared-Dove (ID: 527),2025-04-06 08:33:00
visit_20250406_083337.jpg,Roseate Spoonbill (ID: 488),2025-04-06 08:33:37
